USA,AUS,41289
USA,AUT,4455
USA,BEL,37820
USA,CAN,202303
USA,CZE,31
USA,DNK,6383
USA,FIN,7293
USA,FRA,157921
USA,DEU,191461
USA,HUN,66732
USA,ISL,2045
USA,IRL,24217
USA,ITA,14979
USA,JPN,239312
USA,SKO,13503
USA,LUX,146580
USA,MEX,11492
USA,NLD,199906
USA,NZL,745
USA,NOR,9951
USA,PRT,129
USA,ESP,38812
USA,SWE,35598
USA,CHE,140745
USA,GBR,416139
USA,LIE,472
USA,RUS,7874
USA,LBR,407
USA,MUS,295
USA,ZAF,605
USA,ZMB,2
USA,GRL,1
USA,ATG,3
USA,BHS,694
USA,BMU,2175
USA,CYM,25120
USA,GRD,8
USA,NEA,8024
USA,PAN,1101
USA,KNA,1
USA,TTO,99
USA,ARG,118
USA,BOL,3
USA,CHL,306
USA,COL,218
USA,ECU,29
USA,PER,112
USA,SUR,7
USA,URY,514
USA,VEN,2599
USA,ISR,7109
USA,AFG,3
USA,BGD,2
USA,CHN,1160
USA,HKG,4172
USA,IND ,2375
USA,IDN,258
USA,LAO,1
USA,MYS,459
USA,PAK,60
USA,PHL,131
USA,SGP,20658
USA,LKA,10
USA,TAI,4516
USA,THA,203
USA,VNM,19
USA,PNG,2
USA,PCN,1
FRA,AUS,2770
FRA,AUT,4584
FRA,BEL,119499
FRA,CAN,6933
FRA,CZE,1410
FRA,FIN,4260
FRA,DEU,105831
FRA,GRC,327
FRA,HUN,1000
FRA,IRL,26188
FRA,ITA,32984
FRA,JPN,12883
FRA,SKO,464
FRA,LUX,136343
FRA,MEX,1459
FRA,NLD,169486
FRA,NZL,197
FRA,NOR,3576
FRA,POL,3639
FRA,PRT,4785
FRA,SVK,220
FRA,ESP,40392
FRA,SWE,9257
FRA,CHE,78535
FRA,TUR,1029
FRA,GBR,146784
FRA,USA,111168
FRA,EST,73
FRA,BGR,30
FRA,HRV,14
FRA,CYP,808
FRA,JER,1328
FRA,ROU,797
FRA,RUS,641
FRA,SVN,52
FRA,DZA,445
FRA,EGY,320
FRA,LBY,167
FRA,MAR,321
FRA,TUN,274
FRA,AGO,179
FRA,CMR,125
FRA,TCD,20
FRA,DRC,117
FRA,CIV,558
FRA,GAB,936
FRA,KEN,95
FRA,LBR,4
FRA,MLI,61
FRA,MUS,333
FRA,NGA,448
FRA,SEN,141
FRA,ZAF,249
FRA,BHS,200
FRA,BRB,46
FRA,BMU,4829
FRA,CYM,226
FRA,NEA,1131
FRA,PAN,432
FRA,TTO,112
FRA,USV,753
FRA,ARG,48
FRA,BRA,847
FRA,CHL,158
FRA,COL,36
FRA,PER,14
FRA,URY,49
FRA,VEN,62
FRA,IRN,536
FRA,ISR,370
FRA,CHN,540
FRA,HKG,2472
FRA,IND,465
FRA,IDN,120
FRA,KAZ,19
FRA,MYS,147
FRA,PHL,105
FRA,SGP,2507
FRA,TAI,194
FRA,THA,26
FRA,VNM,19
FRA,VUT,9
GBR,AUS,19859
GBR,AUT,1620
GBR,BEL,8301
GBR,CZE,23
GBR,DNK,8989
GBR,FIN,1299
GBR,FRA,119576
GBR,DEU,111516
GBR,GRC,703
GBR,HUN,8
GBR,ISL,1286
GBR,IRL,19637
GBR,ITA,11764
GBR,JPN,34420
GBR,SKO,1275
GBR,LUX,49778
GBR,NLD,179117
GBR,NZL,408
GBR,NOR,2822
GBR,POL,49
GBR,PRT,993
GBR,ESP,44485
GBR,SWE,10756
GBR,CHE,43876
GBR,USA,257028
GBR,BGR,5
GBR,CYP,528
GBR,GIB,583
GBR,GUE,10611
GBR,IMN,4592
GBR,JER,22180
GBR,LIE,428
GBR,MLT,78
GBR,RUS,1262
GBR,MUS,282
GBR,SYC,28
GBR,ZAF,842
GBR,ANG,16
GBR,BHS,60
GBR,BMU,10982
GBR,CYM,12632
GBR,JAM,42
GBR,NEA,1605
GBR,PAN,181
GBR,KNA,24
GBR,VCT,24
GBR,TCA,32
GBR,USV,3664
GBR,BRA,2
GBR,CHL,2
GBR,IRN,1022
GBR,CHN,996
GBR,HKG,11182
GBR,IND,2982
GBR,MYS,484
GBR,SGP,4823
GBR,LKA,2
GBR,TAI,37
GBR,THA,24
DEU,AUS,2638
DEU,AUT,26804
DEU,BEL,9961
DEU,CAN,5002
DEU,CZE,563
DEU,DNK,10859
DEU,FIN,10627
DEU,FRA,95202
DEU,GRC,256
DEU,HUN,71
DEU,IRL,5976
DEU,ITA,52240
DEU,JPN,20911
DEU,SKO,5942
DEU,LUX,139522
DEU,MEX,255
DEU,NLD,240532
DEU,NOR,3995
DEU,POL,399
DEU,PRT,295
DEU,ESP,19336
DEU,SWE,20373
DEU,CHE,78326
DEU,TUR,602
DEU,GBR,69843
DEU,USA,87424
DEU,CYP,2861
DEU,GIB,748
DEU,GUE,288
DEU,IMN,27
DEU,JER,2556
DEU,LIE,1056
DEU,RUS,3901
DEU,SVN,138
DEU,MUS,68
DEU,ZAF,1628
DEU,BMU,3979
DEU,CYM,536
DEU,NEA,200
DEU,PAN,13
DEU,USV,689
DEU,BRA,205
DEU,URY,66
DEU,IRN,2160
DEU,ISR,1189
DEU,CHN,883
DEU,HKG,235
DEU,IND,352
DEU,MYS,654
DEU,SGP,556
DEU,TAI,56
JPN,AUS,854
JPN,BEL,934
JPN,CAN,1182
JPN,FRA,15220
JPN,DEU,7172
JPN,ITA,695
JPN,SKO,1445
JPN,LUX,4266
JPN,MEX,5
JPN,NLD,36063
JPN,NZL,229
JPN,ESP,168
JPN,SWE,732
JPN,CHE,4917
JPN,GBR,7324
JPN,USA,75063
JPN,RUS,60
JPN,CYM,16979
JPN,BRA,32
JPN,CHN,197
JPN,HKG,2658
JPN,IND ,32
JPN,IDN,12
JPN,MYS,216
JPN,PHL,60
JPN,SGP,10641
JPN,TAI,2001
JPN,THA,79
